Study_Hours,Attendance,Past_Score,Final_Score
8,88,78,79.23
5,92,62,69.47
6,70,55,61.84
7,80,65,70.12
4,75,60,61.78
9,90,85,88.54
3,68,50,55.21
10,95,92,96.44
2,60,45,52.33
6,82,72,74.21
7,85,75,79.84
5,78,64,68.56
8,88,80,84.12
4,72,58,61.95
6,80,70,73.77
9,92,90,94.21
3,65,48,53.45
7,86,78,80.34
5,77,62,68.12
8,89,82,85.56
2,55,40,49.78
6,84,74,77.23
7,87,76,81.12
4,70,56,60.45
9,93,88,91.88
5,79,64,70.21
8,90,83,86.44
3,62,50,54.33
6,81,71,75.12
7,85,77,80.88
5,76,63,67.77
9,91,89,93.21
4,73,57,62.12
6,82,73,76.45
7,84,75,79.56
8,88,81,85.12
5,80,65,70.23
3,68,50,55.11
9,94,90,95.12
2,58,42,50.45
6,83,72,76.33
7,86,78,81.77
4,71,55,60.12
8,89,84,87.23
5,79,66,71.44
7,85,77,80.88
6,82,74,77.55
9,92,88,92.34
3,64,48,53.22
8,90,85,88.77
5,75,63,69.12
6,80,70,74.33
7,87,79,82.45
4,70,56,60.12
9,93,89,92.88
2,55,41,50.12
6,81,73,76.88
7,86,77,81.12
5,78,65,70.44
8,88,82,85.56
3,62,49,54.23
7,85,76,80.12
6,83,72,77.23
9,91,89,93.12
4,74,58,62.34
5,80,66,71.12
8,90,83,86.77
7,84,75,80.12
6,82,73,77.56
9,92,90,94.23
5,77,64,69.12
3,60,45,51.23
8,89,82,86.12
4,72,57,61.44
6,81,71,75.33
7,85,78,81.88
5,79,65,70.12
9,93,90,95.45
2,56,41,49.77
6,83,73,77.44
7,86,77,81.23
4,70,56,61.12
8,88,83,87.34
5,80,66,71.45
7,84,76,80.12
6,82,74,77.88
9,91,89,93.45
3,63,48,53.77
8,90,85,88.56
5,75,64,69.23
6,80,71,74.88
7,87,79,82.77
4,71,56,61.44
9,92,88,92.12
2,55,42,50.12
6,81,72,76.44
7,85,77,81.23
5,78,65,70.12
8,88,82,85.77
3,62,49,54.34
7,86,78,81.88
6,82,73,77.23
9,93,90,95.12
4,74,57,62.12
5,80,66,71.44
8,89,84,87.23
7,84,75,80.45
6,82,73,77.12
9,92,90,94.23
5,77,64,69.12
3,60,45,51.23
8,90,83,86.88
4,72,57,61.45
6,81,71,75.12
7,85,78,82.12
5,79,65,70.23
9,93,90,95.34
2,56,41,50.12
6,83,72,77.12
7,86,77,81.23
4,70,56,61.12
8,88,83,87.34
5,80,66,71.45
7,84,76,80.12
6,82,74,77.88
9,91,89,93.45
3,63,48,53.77
8,90,85,88.56
5,75,64,69.23
6,80,71,74.88
7,87,79,82.77
4,71,56,61.44
9,92,88,92.12
2,55,42,50.12
6,81,72,76.44
7,85,77,81.23
5,78,65,70.12
8,88,82,85.77
3,62,49,54.34
7,86,78,81.88
6,82,73,77.23
9,93,90,95.12
4,74,57,62.12
5,80,66,71.44
8,89,84,87.23
7,84,75,80.45
6,82,73,77.12
9,92,90,94.23
5,77,64,69.12
3,60,45,51.23
8,90,83,86.88
4,72,57,61.45
6,81,71,75.12
7,85,78,82.12
5,79,65,70.23
9,93,90,95.34
2,56,41,50.12
6,83,72,77.12
7,86,77,81.23
4,70,56,61.12
8,88,83,87.34
5,80,66,71.45
7,84,76,80.12
6,82,74,77.88
9,91,89,93.45
3,63,48,53.77
8,90,85,88.56
5,75,64,69.23
6,80,71,74.88
7,87,79,82.77
4,71,56,61.44
9,92,88,92.12
2,55,42,50.12
6,81,72,76.44
7,85,77,81.23
5,78,65,70.12
8,88,82,85.77
3,62,49,54.34
7,86,78,81.88
6,82,73,77.23
9,93,90,95.12
4,74,57,62.12
5,80,66,71.44
8,89,84,87.23
7,84,75,80.45
6,82,73,77.12
9,92,90,94.23
5,77,64,69.12
3,60,45,51.23
8,90,83,86.88
4,72,57,61.45
6,81,71,75.12
7,85,78,82.12


